Wavelength,Bamboo_Ventral,Calophyllum inophyllum_Ventral,Celtis_australis_Ventral,Ficus benjamina (Dhoda)_Ventral,Juglans regia Bharmat (Kagzi)_Ventral,Melia_azaderch_Ventral,Morus_alba_Ventral,Prunus persica_Ventral,Prunus_cummunis_Ventral,Punica_granatum_Ventral,Putranjiva_roxburghii_Ventral,pyrus_pashia_Ventral,Ficus Benghalensis_Ventral,Juglans regia Banuri (Minakshi)_Ventral,Kydia calycina_Ventral,Lannea coromandelica_Ventral,Lantana contact_Ventral,Malotus philippensis test_Ventral,Malotus_philippensis contact pro_Ventral,Prunus armeniaca_Ventral,Prunus cornuta_Ventral,Quercus leucotrichophora_Ventral,Querus floribunda_Ventral,Rodhodendrone arboreum_Ventral,Santalm album_Ventral,Sapandus mukorossi_Ventral,Wendlandia heynei_Ventral,Jacaranda mimosifolia_Ventral,Abies pindrow_Ventral,Acacia catechu_Ventral,Acacia Modesta_Ventral,Albizia_Chinensis_Ventral,Cidrus deodadara_Chamba_jot_Ventral,Cidrus_Deodara_IHBT_Ventral,Leucaena leucocephala_Ventral,Phyllanthus emblica_Ventral,Picea smithiana (Spruce_without cone)_Ventral,Picea smithiana (With Cone)_Ventral,Pinus_roxburghii_Ventral,Taxus baccata_Ventral,Bombax ceiba_Ventral,Albizia lebbeck_Ventral,Syzygium_cumini_Ventral,Terminalia_atala_Ventral,Vitex negundo (Vanna)_Ventral,Robinia pseudoacacia (Rubinia)_Ventral,Vyul_Ventral
350,0.159856431,0.193948891,0.058321636,0.174873306,0.174974833,0.170154235,0.153182774,0.179580339,0.178505408,0.16401918,0.160833181,0.184904071,0.162679239,0.181412039,0.163236615,0.186728628,0.182593477,0.193477445,0.166754849,0.187872677,0.193236257,0.215911529,0.179603544,0.215986431,0.165834228,0.187948111,0.196473158,0.177333633,0.152427228,0.223667504,0.233115918,0.232608779,0.159606402,0.16814336,0.223107196,0.216466703,0.169399526,0.147220257,0.142324002,0.153832835,0.153892002,0.196535221,0.186687609,0.185018543,0.173440204,0.191700532,0.166553618
351,0.154650084,0.18628004,0.058568834,0.167360692,0.167432173,0.165720796,0.14751483,0.16945649,0.173741567,0.162171381,0.159333264,0.185434551,0.158099389,0.180362692,0.15968205,0.18490601,0.177565031,0.187849855,0.162754764,0.184886778,0.186585865,0.210278267,0.179423243,0.213888778,0.1608255,0.181470489,0.189898203,0.171863896,0.161092623,0.217018857,0.227733397,0.223738956,0.15531081,0.160776858,0.216906976,0.210036472,0.162056394,0.147612261,0.137820011,0.149539194,0.151166297,0.192530745,0.180487095,0.180412937,0.165311071,0.188448894,0.168920249
352,0.15818428,0.182939427,0.058656385,0.168818927,0.168553162,0.166965446,0.148509282,0.164171381,0.173124829,0.157398494,0.160669978,0.182478353,0.147613824,0.176081454,0.151901817,0.173189082,0.170489266,0.182579477,0.153154016,0.181502898,0.18591261,0.20297182,0.179693394,0.207953237,0.157260042,0.179662411,0.180549045,0.173131177,0.167375911,0.207878136,0.220639671,0.221610172,0.165620017,0.162224453,0.208956967,0.205771624,0.171808276,0.144788123,0.137402933,0.144571501,0.144342171,0.183518508,0.179251491,0.178994221,0.166494202,0.189258079,0.16988374
353,0.151609104,0.176832642,0.058691374,0.161731417,0.162191747,0.158829072,0.141637331,0.159620328,0.166303065,0.149866444,0.154134727,0.174211077,0.142850269,0.169865746,0.147620802,0.17078285,0.16969554,0.177880955,0.15174712,0.175470433,0.181217088,0.198896832,0.172775424,0.196798384,0.153875934,0.174611974,0.176497064,0.166220881,0.153976765,0.200287382,0.217334078,0.214604155,0.154477234,0.157385245,0.203472983,0.199218254,0.162232221,0.136785099,0.129389273,0.139711079,0.143115797,0.177761972,0.171577211,0.170515039,0.160513177,0.180324624,0.160920348
354,0.143639595,0.171580348,0.058789155,0.154168735,0.155148658,0.150423111,0.134386963,0.157604219,0.158995771,0.144278609,0.146956612,0.167953679,0.139907756,0.165740903,0.145093052,0.170021632,0.168963623,0.173372908,0.150466085,0.168963759,0.175626858,0.194999799,0.164008001,0.188236667,0.149407293,0.168085892,0.172549533,0.159092088,0.143643734,0.195485712,0.212877456,0.205784529,0.140280312,0.150845588,0.198007849,0.193908854,0.149530446,0.130276338,0.121521524,0.135678855,0.141380018,0.17371363,0.165086177,0.163245593,0.152603601,0.171773455,0.152961314
355,0.143853231,0.170382955,0.059004161,0.154211486,0.154757097,0.150459521,0.134494556,0.158288831,0.157315038,0.143311043,0.14602491,0.168246194,0.134233812,0.165077746,0.142028644,0.163295199,0.163335949,0.169265103,0.143087526,0.164152191,0.172777172,0.188376193,0.15979518,0.186811906,0.144524392,0.163417769,0.1646916,0.159330216,0.153004706,0.192821743,0.204759448,0.200181999,0.143414584,0.14915504,0.191364173,0.192038786,0.152125394,0.12951702,0.121084449,0.133269183,0.13469223,0.169442922,0.166169932,0.164194643,0.150242337,0.172622616,0.154543281
356,0.142765146,0.167054032,0.059227484,0.149974055,0.151730358,0.147668182,0.133533417,0.153400905,0.156242368,0.140326386,0.14278956,0.164477188,0.131925853,0.159435662,0.142662896,0.16475224,0.162980165,0.168899593,0.146479868,0.159822312,0.167606269,0.182295073,0.159718482,0.181265101,0.1461904,0.161264972,0.163008834,0.155618426,0.151092638,0.189045565,0.206212557,0.196657241,0.144761278,0.14957038,0.191826192,0.185374766,0.151915321,0.12497914,0.118907888,0.134486233,0.136136625,0.170635362,0.163143272,0.162693872,0.150779935,0.170220632,0.1520002
357,0.138741202,0.161299603,0.059301917,0.145311077,0.148587054,0.142317657,0.128240229,0.145608073,0.150733687,0.135114765,0.137592443,0.159003193,0.1301289,0.156159609,0.140239901,0.161836587,0.160816648,0.164131292,0.144035612,0.15758202,0.162550095,0.181420965,0.157844774,0.177656902,0.143939788,0.159370394,0.160101475,0.149099095,0.141122263,0.183938483,0.202234687,0.190240813,0.137578597,0.144023414,0.189344614,0.179225944,0.146328173,0.125423765,0.11428687,0.129684205,0.134406076,0.165710433,0.158539583,0.157029327,0.144646539,0.165032457,0.145291898
358,0.135040684,0.155951869,0.059361276,0.143149484,0.145975275,0.137622658,0.122713647,0.13983749,0.144745612,0.131160595,0.133291899,0.154690312,0.126266584,0.153803476,0.135289443,0.155372383,0.15669706,0.15830334,0.136803395,0.155327705,0.158356026,0.180378189,0.153811503,0.174555621,0.13794628,0.156086579,0.154836076,0.144681637,0.135310415,0.177669458,0.195140085,0.183556399,0.12924022,0.138092221,0.18316226,0.175448595,0.140311672,0.125911864,0.109390192,0.123208959,0.130077367,0.156738456,0.154160935,0.150946483,0.137328977,0.160273361,0.14020171
359,0.135380792,0.153717098,0.059593952,0.144115386,0.143399521,0.13657881,0.12235782,0.139725474,0.144255662,0.13159518,0.132560598,0.153272097,0.119378916,0.148539948,0.131525902,0.151531998,0.153555359,0.15767163,0.133058705,0.150651153,0.154811218,0.172433975,0.150018187,0.16867116,0.13313637,0.151167305,0.149430624,0.146259246,0.143597659,0.171073177,0.193180352,0.181158244,0.130605481,0.140016257,0.177096639,0.17353711,0.140325769,0.118596057,0.106717126,0.122992216,0.128217376,0.151475456,0.150988138,0.148993714,0.138057788,0.159081373,0.142088389
